site,species,n_years,french_name
10492,PARMAJ,6,Mésange charbonnière
10492,PASDOM,6,Moineau domestique
10492,PHOOCH,6,Rougequeue noir
10492,PHYCOL,6,Pouillot véloce
10492,PICVIR,6,Pic vert
10492,PRUMOD,6,Accenteur mouchet
10492,SITEUR,6,Sittelle torchepot
10492,STRDEC,6,Tourterelle turque
10492,STUVUL,6,Étourneau sansonnet
10492,SYLATR,6,Fauvette à tête noire
10492,TROTRO,6,Troglodyte mignon
10492,TURMER,6,Merle noir
10492,TURPHI,6,Grive musicienne
10506,ALAARV,3,Alouette des champs
10506,APUAPU,3,Martinet noir
10506,CERBRA,3,Grimpereau des jardins
10506,COLPAL,3,Pigeon ramier
10506,CORCOR,3,Corneille noire
10506,CUCCAN,3,Coucou gris
10506,DENMAJ,3,Pic épeiche
10506,DRYMAR,3,Pic noir
10506,EMBCIT,3,Bruant jaune
10506,ERIRUB,3,Rougegorge familier
10506,FRICOE,3,Pinson des arbres
10506,GARGLA,3,Geai des chênes
10506,HIRRUS,3,Hirondelle rustique
10506,LULARB,3,Alouette lulu
10506,LUSMEG,3,Rossignol philomèle
10506,PARCAE,3,Mésange bleue
10506,PARMAJ,3,Mésange charbonnière
10506,PASDOM,3,Moineau domestique
10506,PHOOCH,3,Rougequeue noir
10506,PHYCOL,3,Pouillot véloce
10506,PICVIR,3,Pic vert
10506,SITEUR,3,Sittelle torchepot
10506,STRDEC,3,Tourterelle turque
10506,STUVUL,3,Étourneau sansonnet
10506,SYLATR,3,Fauvette à tête noire
10506,TURMER,3,Merle noir
10506,TURPHI,3,Grive musicienne
10511,CERBRA,15,Grimpereau des jardins
10511,COLPAL,15,Pigeon ramier
10511,CORCOR,15,Corneille noire
10511,CUCCAN,15,Coucou gris
10511,DENMAJ,15,Pic épeiche
10511,DRYMAR,15,Pic noir
10511,EMBCIT,15,Bruant jaune
10511,ERIRUB,15,Rougegorge familier
10511,FALTIN,15,Faucon crécerelle
10511,FRICOE,15,Pinson des arbres
10511,GALCHL,15,Gallinule poule-d'eau
10511,GARGLA,15,Geai des chênes
10511,HIRRUS,15,Hirondelle rustique
10511,LUSMEG,15,Rossignol philomèle
10511,PARCAE,15,Mésange bleue
10511,PARMAJ,15,Mésange charbonnière
10511,PASDOM,15,Moineau domestique
10511,PHOOCH,15,Rougequeue noir
10511,PHYCOL,15,Pouillot véloce
10511,PICVIR,15,Pic vert
10511,SITEUR,15,Sittelle torchepot
10511,STRDEC,15,Tourterelle turque
10511,STRTUR,15,Tourterelle des bois
10511,STUVUL,15,Étourneau sansonnet
10511,SYLATR,15,Fauvette à tête noire
10511,TROTRO,15,Troglodyte mignon
10511,TURMER,15,Merle noir
10511,TURPHI,15,Grive musicienne
10511,TURVIS,15,Grive draine
10521,APUAPU,16,Martinet noir
10521,CERBRA,16,Grimpereau des jardins
10521,COLPAL,16,Pigeon ramier
10521,CORCOR,16,Corneille noire
10521,CUCCAN,16,Coucou gris
10521,DENMAJ,16,Pic épeiche
10521,ERIRUB,16,Rougegorge familier
10521,FALTIN,16,Faucon crécerelle
10521,FRICOE,16,Pinson des arbres
10521,GARGLA,16,Geai des chênes
10521,HIRRUS,16,Hirondelle rustique
10521,LULARB,16,Alouette lulu
10521,LUSMEG,16,Rossignol philomèle
10521,PARCAE,16,Mésange bleue
10521,PARMAJ,16,Mésange charbonnière
10521,PASDOM,16,Moineau domestique
10521,PHOOCH,16,Rougequeue noir
10521,PHYCOL,16,Pouillot véloce
10521,PICVIR,16,Pic vert
10521,SITEUR,16,Sittelle torchepot
10521,STRDEC,16,Tourterelle turque
10521,STUVUL,16,Étourneau sansonnet
10521,SYLATR,16,Fauvette à tête noire
10521,TROTRO,16,Troglodyte mignon
10521,TURMER,16,Merle noir
10521,TURPHI,16,Grive musicienne
10521,TURVIS,16,Grive draine
10539,APUAPU,5,Martinet noir
10539,CERBRA,5,Grimpereau des jardins
10539,COLPAL,5,Pigeon ramier
10539,CORCOR,5,Corneille noire
10539,CUCCAN,5,Coucou gris
10539,DENMAJ,5,Pic épeiche
10539,DRYMAR,5,Pic noir
10539,ERIRUB,5,Rougegorge familier
10539,FALTIN,5,Faucon crécerelle
10539,FRICOE,5,Pinson des arbres
10539,GARGLA,5,Geai des chênes
10539,HIRRUS,5,Hirondelle rustique
10539,PARCAE,5,Mésange bleue
10539,PARCRI,5,Mésange huppée
10539,PARMAJ,5,Mésange charbonnière
10539,PASDOM,5,Moineau domestique
10539,PHOOCH,5,Rougequeue noir
10539,PHYCOL,5,Pouillot véloce
10539,PICVIR,5,Pic vert
10539,PRUMOD,5,Accenteur mouchet
10539,SITEUR,5,Sittelle torchepot
10539,STRDEC,5,Tourterelle turque
10539,SYLATR,5,Fauvette à tête noire
10539,TROTRO,5,Troglodyte mignon
10539,TURMER,5,Merle noir
10539,TURPHI,5,Grive musicienne
10539,TURVIS,5,Grive draine
10604,APUAPU,4,Martinet noir
10604,CERBRA,4,Grimpereau des jardins
10604,COLPAL,4,Pigeon ramier
10604,CORCOR,4,Corneille noire
10604,CUCCAN,4,Coucou gris
10604,DENMAJ,4,Pic épeiche
10604,DRYMAR,4,Pic noir
10604,EMBCIT,4,Bruant jaune
10604,ERIRUB,4,Rougegorge familier
10604,FALTIN,4,Faucon crécerelle
10604,FRICOE,4,Pinson des arbres
10604,GARGLA,4,Geai des chênes
10604,HIRRUS,4,Hirondelle rustique
10604,LUSMEG,4,Rossignol philomèle
10604,PARCAE,4,Mésange bleue
10604,PARMAJ,4,Mésange charbonnière
10604,PASDOM,4,Moineau domestique
10604,PHOOCH,4,Rougequeue noir
10604,PHYCOL,4,Pouillot véloce
10604,PICVIR,4,Pic vert
10604,SITEUR,4,Sittelle torchepot
10604,STRDEC,4,Tourterelle turque
10604,STRTUR,4,Tourterelle des bois
10604,STUVUL,4,Étourneau sansonnet
10604,SYLATR,4,Fauvette à tête noire
10604,TROTRO,4,Troglodyte mignon
10604,TURMER,4,Merle noir
10604,TURPHI,4,Grive musicienne
10604,TURVIS,4,Grive draine
10607,APUAPU,3,Martinet noir
10607,CERBRA,3,Grimpereau des jardins
10607,COLPAL,3,Pigeon ramier
10607,CORCOR,3,Corneille noire
10607,CUCCAN,3,Coucou gris
10607,DENMAJ,3,Pic épeiche
10607,EMBCIT,3,Bruant jaune
10607,ERIRUB,3,Rougegorge familier
10607,FALTIN,3,Faucon crécerelle
10607,FRICOE,3,Pinson des arbres
10607,GALCHL,3,Gallinule poule-d'eau
10607,GARGLA,3,Geai des chênes
10607,HIRRUS,3,Hirondelle rustique
10607,LUSMEG,3,Rossignol philomèle
10607,PARCAE,3,Mésange bleue
10607,PARMAJ,3,Mésange charbonnière
10607,PASDOM,3,Moineau domestique
10607,PHOOCH,3,Rougequeue noir
10607,PHYCOL,3,Pouillot véloce
10607,PICVIR,3,Pic vert
10607,SITEUR,3,Sittelle torchepot
10607,STRDEC,3,Tourterelle turque
10607,STRTUR,3,Tourterelle des bois
