Year,id_cell,Temps_mean_mensu_grid_1,Precipitation_mean_mensu_grid_1,Temps_max_mensu_grid_1,Temps_min_mensu_grid_1,TAMPLI_mean_mensu_grid_1,Temps_mean_mensu_grid_2,Precipitation_mean_mensu_grid_2,Temps_max_mensu_grid_2,Temps_min_mensu_grid_2,TAMPLI_mean_mensu_grid_2,Temps_mean_mensu_grid_3,Precipitation_mean_mensu_grid_3,Temps_max_mensu_grid_3,Temps_min_mensu_grid_3,TAMPLI_mean_mensu_grid_3,Temps_mean_mensu_grid_4,Precipitation_mean_mensu_grid_4,Temps_max_mensu_grid_4,Temps_min_mensu_grid_4,TAMPLI_mean_mensu_grid_4,Temps_mean_mensu_grid_5,Precipitation_mean_mensu_grid_5,Temps_max_mensu_grid_5,Temps_min_mensu_grid_5,TAMPLI_mean_mensu_grid_5,Temps_mean_mensu_grid_6,Precipitation_mean_mensu_grid_6,Temps_max_mensu_grid_6,Temps_min_mensu_grid_6,TAMPLI_mean_mensu_grid_6,Temps_mean_mensu_grid_7,Precipitation_mean_mensu_grid_7,Temps_max_mensu_grid_7,Temps_min_mensu_grid_7,TAMPLI_mean_mensu_grid_7,Temps_mean_mensu_grid_8,Precipitation_mean_mensu_grid_8,Temps_max_mensu_grid_8,Temps_min_mensu_grid_8,TAMPLI_mean_mensu_grid_8,Temps_mean_mensu_grid_9,Precipitation_mean_mensu_grid_9,Temps_max_mensu_grid_9,Temps_min_mensu_grid_9,TAMPLI_mean_mensu_grid_9,Temps_mean_mensu_grid_10,Precipitation_mean_mensu_grid_10,Temps_max_mensu_grid_10,Temps_min_mensu_grid_10,TAMPLI_mean_mensu_grid_10,Temps_mean_mensu_grid_11,Precipitation_mean_mensu_grid_11,Temps_max_mensu_grid_11,Temps_min_mensu_grid_11,TAMPLI_mean_mensu_grid_11,Temps_mean_mensu_grid_12,Precipitation_mean_mensu_grid_12,Temps_max_mensu_grid_12,Temps_min_mensu_grid_12,TAMPLI_mean_mensu_grid_12,species,site,abondance,passage,scientific_name,french_name,abondance_capped,abondance_max_capped,abondance_mean_capped,abondance_sum_capped,Area_grid_tot_Urba,ValueSPred_Urba,Area_grid_tot_For,ValueSPred_For,Area_grid_tot_CC,ValueSPred_CC,Area_grid_tot_M,ValueSPred_M,Area_grid_tot_ZH,ValueSPred_ZH,mean_concentration_air_grid_max,mean_tii_grid_max,mean_tii_scale_grid_max,mean_concentration_water_grid_max,all_pesticide_exposure_grid_max,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,all_pesticide_exposure_grid_sum,SurfBio_cell,nb_exp_cell,Long_route,nb_roads,Lum_max,Lum_median,Lum_mean,Lum_min
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,APUAPU,660330,3,only_2,Apus apus,Martinet noir,3,3,3.0,3,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,CERBRA,660330,2,only_2,Certhia brachydactyla,Grimpereau des jardins,2,2,2.0,2,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,COLPAL,660330,7,only_2,Columba palumbus,Pigeon ramier,7,7,7.0,7,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,FALTIN,660330,1,only_2,Falco tinnunculus,Faucon crécerelle,1,1,1.0,1,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,GALCHL,660330,0,XXX,Gallinula chloropus,Gallinule poule-d'eau,0,0,0.0,0,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,GARGLA,660330,0,XXX,Garrulus glandarius,Geai des chênes,0,0,0.0,0,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,HIRRUS,660330,4,only_2,Hirundo rustica,Hirondelle rustique,4,4,4.0,4,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,LULARB,660330,0,XXX,Lullula arborea,Alouette lulu,0,0,0.0,0,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,LUSMEG,660330,7,only_2,Luscinia megarhynchos,Rossignol philomèle,7,7,7.0,7,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
2001,22679,5.79610138248848,3.19958465106473,21.4,-13.0,7.34428747628084,6.42857142857143,0.877554786620531,24.2,-15.3,9.79089306662836,10.4264976958525,2.03897039998795,28.3,-13.5,10.0120032187599,10.1769047619048,1.70967320261438,25.5,-11.4,9.78373737373737,14.786866359447,1.31606451612903,36.9,-6.0,10.5763944892473,19.1023234811166,0.669931972789116,37.5,-2.0,12.4554147465438,20.4009216589862,2.21257406188282,38.8,-0.5,11.5417967395075,21.3794930875576,0.368663594470046,37.0,0.2,11.8062793785209,15.7337585034014,1.38408163265306,31.2,-4.0,11.2921863799283,15.1900921658986,0.935088874259381,32.2,-4.5,10.5765868886576,7.05952380952381,3.46965986394558,26.6,-13.0,8.5605376344086,3.5315668202765,0.409130749073823,24.1,-18.0,9.56825024437928,MILCAL,660330,0,XXX,Emberiza calandra,Bruant proyer,0,0,0.0,0,,1162997.79497607,,,,5301753.72215939,,916909.273325145,,,,,,,,,,,,,,,4047.10400131192,7.0,61,57.5533802997742,56.5276985168457,49
