id_cell,n_samples,Area_grid_tot_Urba,ValueSPred_Urba,Area_grid_tot_For,ValueSPred_For,Area_grid_tot_CC,ValueSPred_CC,Area_grid_tot_M,ValueSPred_M,Area_grid_tot_ZH,ValueSPred_ZH,mean_concentration_air_grid_max,mean_tii_grid_max,mean_tii_scale_grid_max,mean_concentration_water_grid_max,all_pesticide_exposure_grid_max,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,all_pesticide_exposure_grid_sum,SurfBio_cell,nb_exp_cell,Long_route,nb_roads,Lum_max,Lum_median,Lum_mean,Lum_min
106421,792,0.0,,0.0,1.174143688571392e-09,-0.847986931731043,3.8919563161808597,1.6471561920967898e-07,-3.502037389455256e-07,,,-1.3082147887806583,-0.16190504033181116,-0.1619050403318024,0.36860090533015233,-0.35701363612409387,-1.0879014346998503,0.04229328287734758,0.042293282877302274,0.5919947355329602,-0.5626620446792726,1.2728329666183578,1.258679214296383,-3.619178559492651,-1.5565283926095077,1.7292917384169044,-0.4204437502779346,-1.8971732669195134,-0.7270321004531878
99623,792,,,0.0,-4.294774814298371e-11,-0.5363257042800476,0.12809691173751156,5.181728552723289e-09,-0.0007142215073606712,,,0.10513533910513245,-0.35326914029836287,-0.35326914029847084,0.6846971440760323,-0.5759127909702885,0.28000232661834534,-0.0015968143135798925,-0.001596814313467546,0.6846971440760192,-0.761932444048377,-1.1092161288041493,-1.4307305177042797,-0.7737896794343294,0.6467173787185478,-1.5008188526144188,2.135178029690826,-0.41842035707712344,0.0
91384,792,0.0,,0.0,-6.011723250888787e-10,1.080414434094223,0.33042442475847084,-1.6300330051044842,0.5673870663702382,1.418496542913034e-06,5.729940258507885e-08,-2.306693244845016,0.5688710385753558,0.5688710385754493,-0.7481102600333028,-0.6482017768183629,0.9674199802470691,-1.0601741566789642,-1.0601741566788767,-0.5679365255450531,-0.6112339502959385,0.00023214481833690257,0.46762271987156484,-1.9497191981484774,-0.40620559143686374,-0.20047894813520656,-0.44858920637845306,-2.6640608378188424,2.213232134806088
158721,782,1.0869146958504945e-07,5.165400693071675e-07,0.0,1.2994684995729025e-09,1.1253655865840984e-11,-2.152658686147095e-10,,,,,0.7339026024387192,1.505142276226654,1.505142276226619,-0.025906388052825215,-1.41244280931881,-0.35878487032676304,-0.2882432793165419,-0.28824327931655574,1.302693098195343,-1.3559143538605223,0.0,0.0,0.10606255305000904,-1.3041329685502832,-3.2678392400995357,2.166242073391934,0.22365082885879026,-0.36771081195610766
136308,770,0.17575787051229785,-0.06670079350368861,0.0,-4.4739712725896623e-14,-1.9213243958000177,-0.07346368679665975,-0.03613484401554977,0.025977079351046064,-1.1181189847431947e-07,2.6857853507833532e-08,0.3063370490850033,0.03584481323965849,0.03584481323963945,0.06003222045270485,-1.5204523309941225,1.128989658003947,0.03584481323957067,0.035844813239510234,0.06003222045270394,-0.7457609208402529,0.0,0.0,1.221076124936021,0.8140681809339861,0.5409909334812876,0.30683703787366334,-0.7956002669665745,0.805717971361158
100470,770,-4.2727079196911173e-07,-1.8973974009754805e-08,0.0,-2.7353782020226725e-12,-1.1720229392037054,-0.04101751636284392,8.457030830366655e-08,3.796365706748993e-09,,,-0.6956576309376642,0.02516027043706225,0.025160270436964453,-0.37630330218562913,0.23792132780119216,-1.529187039915531,0.364162591621411,0.36416259162141584,-0.3763033021856294,0.14606730564148573,0.0,0.0,-0.1741348409714764,-0.24852238203167057,0.5711961191715625,0.4044981179574713,0.8496281413123379,-0.9529608919262677
91843,770,0.7802962284456637,0.11018959117657597,0.0,-2.1596228718556327e-10,-0.49833384306425793,0.6279410486229069,-0.06123848024677486,0.20945519269715626,,,0.007069586811572534,-0.06054747089907884,-0.06054747089928111,-3.0424305064123582,-1.8773407663534747,0.748707743430931,-0.060547470899170244,-0.06054747089912137,0.9122116624980892,0.8548314489747733,0.0,0.0,0.8674834758050389,0.021347607562485254,-1.0099515616161645,-1.4620181689664982,-0.3393866941739494,2.107883462597167
151856,770,,,0.0,4.356489114471614e-11,1.5128903611437263,-3.8187293547603787,2.239006064097133e-06,-6.333384499606223e-06,,,0.5207847233756584,-0.39045046897462543,-0.3904504689746716,0.11460374175075105,0.44120442922893255,0.10538373766582028,-0.39045046897466806,-0.3904504689747703,-0.06021457560634719,0.2220719369340618,0.0,0.0,0.18701975746569693,1.0586014556857002,-0.6673969369601304,0.020821375119682264,0.5496268718704271,-0.5101490110628542
118758,770,0.2730664295760841,0.4297897649850786,0.0,-2.088783118788652e-10,-0.772995059238075,-1.266132124912299,-7.878381384280674e-08,-1.417713462153613e-07,,,1.749838552460633,0.015392903073392616,0.015392903073319336,0.0693721081592932,0.7185277330228705,-2.028569947705844,-0.31268788395420827,-0.31268788395398267,0.06937210815935865,-0.7142327732902173,0.0,0.0,-1.6362123153111396,0.26586980719604353,-1.4595938018890593,0.12256564785178496,-0.5138134958083181,-0.06669088104633983
100070,770,,,0.0,1.9705503356774406e-09,0.4898920683507855,2.017793177858665,0.021599963696839582,0.1848986089352168,-2.6560848667728917e-08,3.2356476188962333e-07,0.6365582077935521,-1.1142143096508539,-1.1142143096509174,-0.35611836844579947,-0.3443733136553764,0.38771498904548785,1.0023314112071278,1.002331411207174,-0.5339806583900109,0.38225857687131126,0.0,0.0,-3.1115056965626766,-0.2606944097707638,3.2313164563904087,-4.533937991300957,1.7871231255480744,0.0
