species,Mean_temp_grid_allY,Mean_temp_max_grid_allY,Mean_Ampli_grid_allY,Mean_preci_grid_AllY,Tot_preci_grid_AllY,Max_temp_grid_allY,Mean_temp_grid_JanvMay,Mean_temp_max_grid_JanvMay,Mean_Ampli_grid_JanvMay,Mean_preci_grid_JanvMay,Tot_preci_grid_JanvMay,Mean_temp_grid_MayJuly,Mean_temp_max_grid_MayJuly,Mean_Ampli_grid_MayJuly,Mean_preci_grid_MayJuly,Tot_preci_grid_MayJuly,Mean_temp_grid_MayDec,Mean_temp_max_grid_MayDec,Mean_Ampli_grid_MayDec,Mean_preci_grid_MayDec,Tot_preci_grid_MayDec,ValueSPred_CC,Area_grid_tot_CC,ValueSPred_For,Area_grid_tot_For,ValueSPred_Urba,Area_grid_tot_Urba,ValueSPred_M,Area_grid_tot_M,ValueSPred_ZH,Area_grid_tot_ZH,mean_concentration_air_grid_max,mean_tii_grid_max,mean_tii_scale_grid_max,mean_concentration_water_grid_max,all_pesticide_exposure_grid_max,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,all_pesticide_exposure_sum,SurfBio_cell,nb_exp_cell,Long_route,nb_roads,Lum_max,Lum_median,Lum_mean,Lum_min,nb_parcelle,nb_Culture,Cerales,Arboricultures,Vignes,OleagineuxProtea,LegumesFleurs,BoisEnergieSylvi,Prairie,Cerales_mean,Arboricultures_mean,Vignes_mean,OleagineuxProtea_mean,LegumesFleurs_mean,BoisEnergieSylvi_mean,Prairie_mean,nb_parcelle_mean,nb_Culture_mean,Length_idCell,Area_grid_tot_Urba_meanAlly,Area_grid_tot_M_meanAlly,Area_grid_tot_CC_meanAlly,Area_grid_tot_For_meanAlly,Area_grid_tot_ZH_meanAlly,cluster
PRUMOD,-1.6409575736461486,-0.2783807819974713,-0.7757934085240138,0.8232994314125388,0.06792392592072087,-0.9386288177536807,-1.4274168848442137,0.8508920215228641,-0.8664113794466419,0.140450730007618,-0.455063869228868,-0.33940069668928524,0.7999402433981442,-0.7637785599795475,-0.9194562988700583,0.26142248174724936,-1.2380247265692366,-0.29358250044438866,-0.07339230585587773,0.4532413196129581,-0.45978100738831446,-0.08814209691516327,-0.6621303428632386,0.657817700355142,-0.324051291757978,0.9253873384339409,0.15340505122581727,0.46201409649676095,0.12668592139714882,0.2320512414418128,0.5136072899060816,-0.1960025555454864,0.054184635889187885,0.05418463588919101,0.17521712541504636,0.20311458423697376,0.09000722441490636,0.08025262040533522,0.08025262040533257,-0.5653986417780403,-0.0766733120952812,0.0,0.0,-0.728914441043666,-0.5327935336979148,0.27316761146432067,-0.5735268879775433,-0.17201894859934846,-0.1775769879714543,-0.2812960487007281,0.5435606896448394,0.3812364983930311,0.17922855826561332,-0.1431081460786655,-0.4064573960386984,-0.4032228874101204,0.48055478440769633,-0.04456433893312401,-1.188338225422415,-0.6513869776252587,-0.12481130518303787,0.043815792694496265,0.5728765546083224,-0.8785785939574282,1.1688021926971608,0.19571991099194225,0.4117697078390079,0.8215677662529572,-0.5023981040474654,-1.0648511918096928,0.7820283466344864,-0.21068044399529687,0.6406946938886813,1
FRICOE,0.7550324143920986,-5.195037987738401,5.854461080972297,3.3835227127492145,-2.0608883519725745,-4.7004435967162825,4.133732107758898,-6.431404094393896,6.826577726385046,-0.051505122537615584,-0.5775786669165623,-4.324430232080893,6.0057930145866925,-5.828969150932383,-4.812258800420684,6.480936498058094,-3.070962210154295,-1.3297609952609635,-0.7954333506020099,-0.6859832394539556,-1.2399417705343374,-4.731085928175825,1.8435436532411262,0.3323124087811261,1.1895768559138464,-4.429106863892248,4.78216388023902,-6.114823637192563,1.0742373032870194,4.8604704361967785,-0.8157291746621793,-0.29663353507023027,-3.0420853452266114,-3.042085345226687,-1.1096512617259184,0.3002970035926648,3.0223536102815243,-0.9138968965883572,-0.9138968965883724,-2.7445986241868727,-0.8545837106592765,-0.13765765141924863,-8.390804123010465,2.283986407747532,-18.397061052508764,-6.922098119805978,-1.277363965059216,2.769550742613425,-6.534762016502657,-0.16415201763468945,-1.1741282732106078,-1.264468925382181,-1.2996267135246018,-1.6195760823492655,0.19029617880472333,-0.14426950932410915,-1.744305619448247,-3.4863668847052995,-2.2352214885614425,-3.270455615387731,-1.714071598972073,0.8706505695045472,-2.3310799562798423,7.156836069850863,3.4630144674751726,1.9485760040551452,-1.267978424011964,-1.2224110230737342,11.054052833697588,3.6121518328809965,-5.678084658335616,0.040342847338701894,-0.9638922756431818,1
APUAPU,3.9866171369426544,-6.970365719164135,7.9493458312342575,-5.279616859499924,-10.471026775828893,-27.603819831903987,-7.29307508783868,13.44689197865313,-2.8157268864336467,-8.270521108116558,16.70555581284675,35.90198976484103,-43.57778532908709,5.463732009224015,-16.20557374500546,1.427208114809694,24.270461694580035,-15.34137980763828,15.515751023428866,4.310878616060907,11.392135816142606,7.275925366356776,0.06142904903958468,-1.6253266363656467,-8.549925685218678,15.377519402827879,13.991863366989213,9.631944934708741,1.5076345334161119,29.666735987384357,-7.240145435969403,-6.72962353115918,-6.263790460190719,-6.263790460191097,-5.673628195605847,-8.66609622914945,-15.499337042314417,10.90703289987319,10.907032899872972,5.279737651118585,3.7846656923925277,5.1044049572045305,-3.402935343524399,35.862778424369125,38.08252248628527,22.418578368085196,-2.0540604247564413,0.8193369067233536,-1.1964757141927596,-3.1603627081232935,17.443386865317073,10.998376150282954,-12.459229068142852,7.782238343380947,11.12817680677127,11.198129017756445,-1.0899850266225213,4.4814864183037635,-19.758265672168775,18.10017526744626,4.457019864403134,0.9740990630999806,-27.987470517215563,-10.137744758447383,-16.110314801078108,0.8663684546603471,-2.0770283259717313,-13.472742381026942,2.7442982592033656,-17.183453759924593,7.190702202951363,-5.1230493943053945,-39.95191664831108,2
SYLATR,1.0894949418223199,-0.15017114873159806,3.462768090353402,5.7178363242955506,-0.7741851593858217,-6.137444884222353,-1.132895867896053,-3.40416559011837,1.5384000606551003,3.807906337706048,-8.639725385503835,-4.193629320934196,9.404583233609776,-8.195235864972608,-0.4873471182971801,3.4490641742589476,-2.031510479224787,1.5722525851173088,0.6290928895456555,-2.6065193301184206,-1.0250813731082271,-0.5409297349411768,0.5411872114491341,1.682216993572528,0.5350527043441926,3.1913533742405598,1.934530168113373,-2.901709075876878,-1.0890783016587269,-5.089069462493784,-0.2096747649693899,2.685419755508611,0.06225453546394904,0.0622545354637879,-1.0515750496587508,-0.3827465678795907,2.843514679121964,-3.382671273335563,-3.382671273335612,1.2718823174343534,-3.894571298830268,-2.4808355443368924,-4.540025072560288,5.92493888166613,-11.353013280962868,-6.273280674330931,1.949381782768408,4.986696999396651,-5.937692560171611,-0.007614023362514092,-2.2929663466870545,-3.82006665901871,0.9034241200633072,-1.8942084693406436,-0.7108590250370775,-1.5365471042653207,-0.8401740724736553,-5.072875597056227,-1.644269263396274,2.1534288665150534,-3.593322369080479,10.45059996798982,-5.055502889948735,-2.0043504615971197,-3.566664306810689,-1.572937793038413,2.6437085015916453,9.20839630969469,2.1778449161722016,2.582302616175777,-3.6675711879223316,-4.403220124669979,-1.857741583603609,1
PASDOM,-5.2181522010752595,6.3602255310128,13.002938911244257,1.5030635221264392,-3.2146452118883504,-10.066066651886475,-9.478814229290656,15.6857575078532,10.366559058395238,-2.0044343060802,9.983441302584108,9.131711465323443,7.029583551318209,-14.952663107272631,-2.4321126391410357,-0.7898891733721634,1.9090141923843298,-2.18496537915823,1.9325812516195338,8.38328971361256,-7.988990115600421,7.90763688011115,3.4946505463838395,2.600701471035677,1.6876516828799075,8.464395009839155,1.2690155721143364,-3.7546002719285427,3.0430469598058307,-0.8174260756160788,-1.6728932737977262,-2.9276917401561517,-1.4383637409048524,-1.4383637409047878,3.526196143519676,2.7950813233416705,-4.674063612577467,-0.767690132675805,-0.767690132675796,2.896233733504641,0.07399493320229479,6.720866202651015,-3.394202476921868,13.423677472762533,-11.881139915046278,-5.104250912065043,13.452200711788853,7.960592740381714,-5.440031706420141,-2.0695962709182436,5.586976520518015,-5.401817073861467,4.061620545722792,-2.842260434246246,8.433514819013187,1.1101741213624556,1.9412025147614325,2.4644015078572323,0.03954097029080721,-0.822535534202774,22.39983275613511,-5.447421712983941,-11.667425256417824,-7.0365012760969,-0.8228797374852156,-0.9584187092277453,8.479699665779316,3.790832047032374,-12.005984552020585,6.556251309416029,7.293118251533512,-7.413825570659748,0.7111676307651206,0
TURMER,-3.917629181773837,-1.9611054645419939,-1.340737038401018,6.140506629064048,1.768256737842681,-6.261174833821309,1.10566132518501,-3.261596981903642,-0.39268495236500467,4.14948503911864,-6.5284013099603735,-1.6845867537579846,10.180083104879607,-6.877119900957402,-0.024817548753547736,0.34121800552664894,-5.036278966114143,-0.34885109295440114,-1.026764527727565,-2.3169371361306874,-3.0501927752606717,-0.8887753207945754,0.4639008142476344,0.41038082847210594,2.278930316472941,6.122006476305584,2.2044214062466745,-1.5497429757718886,-2.4795766236350523,-5.82113999193874,3.2533143502154576,-4.115096673755383,-1.738039776732181,-1.7380397767320424,2.3716546904166,-1.6427527740351888,3.010912832326467,1.2498509618856208,1.2498509618856017,-3.7731412411181346,-2.960322072082705,-2.5448151847541163,-4.63759911685653,-2.149270786812246,-9.740575092481652,-0.6336424114613602,-2.105528003209283,1.8780405996881635,-7.09495302760173,-0.27805249539684573,-6.080092088851041,-2.896838952818849,1.1845514569610684,-2.5434525456555788,0.7695962924890214,1.8777025584902416,2.319052676312388,-4.34408894954314,-3.427161371564165,3.285057594387867,-1.9927540031601856,9.53020181042158,-1.6868383184593903,1.4020286251890517,-6.805898340061324,2.098560728172206,-1.227800030675598,6.163448571354976,5.326647940898086,0.41719600189553696,-3.8736734420297525,-0.45336033773089246,-0.541016078362938,1
TURVIS,-0.7815258548593789,-0.23851392205689825,1.6556922445494875,1.1880690521692723,-0.24903372687550676,-0.7885614924899375,-1.2020944599101704,-0.0138674347123579,3.8206585494175407,-0.18702633817855163,0.10070711198828987,-0.6302442636518654,0.27271745599699393,-0.4747165375681734,1.600202089228478,-1.949147269223579,-1.5126623329862927,-0.4905308530655048,-0.03603911218555985,1.354395562020205,-0.3367091102514411,-0.37845131230245055,-0.051515490406185,-0.042667010332290305,-0.9526359362674035,-0.4624387938544387,1.4332892811449045,-1.0177444249283218,-0.17850583444470855,-1.8034671618590892,-0.008363693594536798,1.346381445790179,0.12166231418742866,0.12166231418742458,-0.5992604139269959,-0.19489153608428808,1.5452126339760692,0.19125585978296142,0.1912558597829659,-0.1390969926038715,0.6694928125593452,-0.36472347842706826,-2.633044922274685,0.38538770586945215,-1.9934647331083797,-0.6171205897577937,-0.6764709794657452,-0.5485424213856401,0.5772817316178216,0.09049587126230692,-0.7491517625417783,0.012367430063135922,0.7971342769251094,0.41862000247792336,0.4763734995289325,-0.3427609391802371,-1.0755290043170045,0.3158237091570058,0.507687657266082,-0.5493008115659138,1.7785130514933574,0.2454615124053104,-0.6097579801673256,1.248879085066649,-1.1660795658057133,-0.667194299714598,-1.8936839128387946,-0.8327034981959585,-1.281522132139825,0.705611077606056,-1.321123471427034,-0.5780328620424169,-2.3355777401782145,1
HIRRUS,-0.6837203400875126,-0.009146709145334728,5.834617000098665,-0.896439023818194,0.2334868118662106,-5.1933501929079275,3.7367868648310547,0.33755311891630785,8.565412916454639,0.24343238147681087,5.690299104841191,1.4975983406116584,2.931689112637928,-14.30181589352164,-1.3030781334210815,-6.812190248884359,-0.9036158119306941,2.043679379081692,-1.3510111458017784,2.4086529935306054,-0.840606238555226,3.9191363696307,-0.9022043930275899,-0.3285659554445613,-0.40656861512068115,-4.047481380071194,1.169922534345306,-0.3360083021560625,-3.0673618631535597,13.570407606372113,3.535139590845936,-0.67240512241851,-1.1781308430461277,-1.1781308430460506,-0.6449015153931532,-2.7950406728923336,-4.762837250157217,0.9351282258728016,0.9351282258728215,5.576081884381438,1.9145806050433398,4.007232044837426,1.7695147241966978,5.520008896389708,5.1984961758051575,-0.48274798015884246,1.7227271027517355,1.488298728485517,2.130482387938865,-1.9954907540911253,3.964903138477821,-2.175336363989293,-4.968080711097429,7.774297732058578,3.0319158693574324,2.796934260626189,-2.0298388752997214,2.042452996240537,0.6770218884372953,5.463532130346981,6.827516261827767,-3.865268733899675,-3.9953467781042584,-4.721196254796276,-2.378834227754167,-0.9229876942534722,2.61064849723614,3.865627557692973,-5.253946283540487,-1.0491920872770006,3.793162183405179,1.899763619250147,-13.660559806233579,0
CORCOR,-0.9813513653407848,2.1813788133703413,0.659127282516811,3.410036354622893,-3.2529454604581898,-5.313435914432,-1.457378030224832,0.8204265794351259,2.647782823401417,3.1676652921686497,-0.21587054041197248,-0.9712994333805515,9.308033890474999,-1.768682223474014,3.4783448819370397,0.47810352354361224,-0.858729692816501,3.0709327126669383,2.052633673676819,2.7445795985878574,-4.547603328354095,3.8300615428616007,0.33273788815385685,-0.35186831093427723,1.1040137001893038,4.303357395030698,1.911282182806743,1.9433860317017553,-0.5233647295121376,3.8761194049587107,1.4865304643137098,-4.702546043360082,0.04229129088069314,0.04229129088074712,2.2934735797665096,0.5922907691800099,0.7440532678951699,-1.199414041608146,-1.1994140416081123,-3.138244508468451,-0.36111342306367444,1.6474641397333347,2.8181693675325987,-2.81282811429187,-0.046754289390274865,2.046174787538109,-2.0565113488274465,-2.538381413221953,0.12912274615301964,-0.3019689048796278,1.692001886700488,-0.157070405408481,-3.1291674156653677,-0.07215406927663569,4.856516834471317,-2.3488226358730886,-0.9277129457413761,-2.122307363486356,-2.1585916502362177,1.4966337682521673,-0.032070260887751174,7.308453651535937,-4.8099418054843515,-1.1931365478678688,-1.5237945238279103,1.647340385260007,2.699501236516545,8.123984046221281,-2.418232976424166,-0.37320073963762196,0.8666954996159956,-0.5913214206573376,-1.3233430402881188,1
COLPAL,2.0022177920091857,3.6611496721637673,-1.5947827619487074,-1.2236781552971723,-3.3304243290001727,3.317810275610922,-3.6122955150268563,0.3162400961006844,-3.566245142166106,-1.1922282436188945,-0.05826425475265397,4.228262196746844,-1.6790640768276794,2.6595858122201257,5.90859661662022,0.11909660907276126,4.824614299182212,5.891365395285259,3.5608354834529092,6.13254178787277,-2.909870933135187,-0.6754983359708977,0.9094561354686143,0.4495843008014238,1.338384638626727,14.078657060079957,2.666103064232517,-2.2623116747742475,-1.8253732946825965,-1.1754585284622567,2.4214093253278333,-0.502039291735481,2.868094294596777,2.8680942945968355,1.5784831421849417,-2.7114339397972977,3.9385150186294458,-1.5440042796041278,-1.544004279604062,2.832522159640859,0.392546577292965,-0.8591638926533353,-2.0385383247919413,-0.4898016840800416,13.517708958365427,3.892831716289286,-3.9258395642497437,-2.452812922503833,4.765663280220362,-0.2679016343662052,-0.6418597204960661,1.2367517429914592,1.1772210658027074,-5.221710131521664,2.197228427790968,3.493633633184364,-0.5509174678000157,-4.017463886514996,0.522775678826754,1.7930927492886881,-2.0707913043028756,1.4480108139626373,0.011827034408456083,1.6008422687162585,-1.1053662855202482,1.7943921020653995,1.6930271594225852,1.297044939556092,-14.920301928080258,0.7779936853581426,0.4843456370634238,-2.7053846010223097,0.6995319266942105,1
