,Mean_temp_grid_allY,Mean_temp_max_grid_allY,Mean_Ampli_grid_allY,Mean_preci_grid_AllY,Tot_preci_grid_AllY,Max_temp_grid_allY,Mean_temp_grid_JanvMay,Mean_temp_max_grid_JanvMay,Mean_Ampli_grid_JanvMay,Mean_preci_grid_JanvMay,Tot_preci_grid_JanvMay,Mean_temp_grid_MayJuly,Mean_temp_max_grid_MayJuly,Mean_Ampli_grid_MayJuly,Mean_preci_grid_MayJuly,Tot_preci_grid_MayJuly,Mean_temp_grid_MayDec,Mean_temp_max_grid_MayDec,Mean_Ampli_grid_MayDec,Mean_preci_grid_MayDec,Tot_preci_grid_MayDec,ValueSPred_CC,Area_grid_tot_CC,ValueSPred_For,Area_grid_tot_For,ValueSPred_Urba,Area_grid_tot_Urba,ValueSPred_M,Area_grid_tot_M,ValueSPred_ZH,Area_grid_tot_ZH,mean_concentration_air_grid_max,mean_tii_grid_max,mean_tii_scale_grid_max,mean_concentration_water_grid_max,all_pesticide_exposure_grid_max,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,all_pesticide_exposure_sum,SurfBio_cell,nb_exp_cell,Long_route,nb_roads,Lum_max,Lum_median,Lum_mean,Lum_min,nb_parcelle,nb_Culture,Cerales,Arboricultures,Vignes,OleagineuxProtea,LegumesFleurs,BoisEnergieSylvi,Prairie,Cerales_mean,Arboricultures_mean,Vignes_mean,OleagineuxProtea_mean,LegumesFleurs_mean,BoisEnergieSylvi_mean,Prairie_mean,nb_parcelle_mean,nb_Culture_mean,Length_idCell,Area_grid_tot_Urba_meanAlly,Area_grid_tot_M_meanAlly,Area_grid_tot_CC_meanAlly,Area_grid_tot_For_meanAlly,Area_grid_tot_ZH_meanAlly,cluster
PRUMOD,5.162108188526856,-4.302401815363815,3.5774521722988264,1.614643682641762,3.8405447436992595,-0.5507129521211999,0.9051563657451628,-0.36814427855081566,-4.309101979055289,-0.8270517541955739,-1.0182856182277682,-8.462063751427008,4.673286755856929,-5.329200312051857,-2.868831876418069,-2.692506274117688,2.291576191067232,-6.526430067314791,0.1889600695505348,-1.6089318272890083,0.13341181161906243,0.050621968758241286,-0.19694845260555172,0.13228596731480985,0.2585682104646869,2.607498517863881,-0.3350791342458374,-0.48873574280626936,-0.28118129261827296,0.01789530201825913,-0.23375398918601734,-1.770783387187734,-0.6359516927757959,-0.6359516927755038,-2.3298053790568862,5.260004760936323,-2.3400706307293153,-2.3876987297424135,-2.3876987297426964,-2.599966353560757,5.751305795450632,-0.5791093484686811,-0.04631748299512325,0.4423757259104017,-1.749906027403538,-1.5553377569981754,-0.1813773410801589,2.3743171325160515,0.11781992210496527,0.6460962414116151,-0.06925373417496053,0.31822202356125984,-1.1352853174335569,-0.4397019962267453,0.735155143221263,0.005182344722301561,0.3266574801397384,0.33229144273772093,0.2848210488074552,0.22535305519258061,-0.20480880124302497,-0.654735542484654,-0.5681711753567583,0.2034894842889522,2.1045030805882803,-0.13197200131018536,-0.6481021009444052,1.6987885749550085,-1.6125211280864264,0.4245681679294336,-0.43014092741240023,-0.41871320211147306,1.0590398890069492,0
FRICOE,15.033500269651459,-18.97724500616776,3.4071690036286677,17.56177981201704,9.753403475935567,2.813173043763047,1.5170890459268334,-12.03937124916225,-1.1911895214056887,-12.683657620351298,-2.8613369984933326,-15.275570032083516,16.45714517184751,-4.967808234858754,1.7421765950582528,0.3264719186514257,-1.846311215077926,-18.413356749651186,1.8967606498538532,-10.521305925571465,-6.665491396385687,-3.0624895830459624,-0.9675651490280052,0.6311940061980111,-0.10861959716494429,-8.263939490438979,1.4627513207834804,-1.7594476914146682,-0.7822974096357482,-2.6128199960812197,-1.0542609690013034,-3.8713213722601387,-2.3945286037809232,-2.3945286037822275,-2.7737700553583995,8.516617990362068,5.620208813536449,-6.970553520687153,-6.970553520687677,0.4118095866713334,-0.4512180359082009,0.39721012940580436,-8.217122172486409,1.0674439465653502,-12.06841055874564,-3.3733385139106,5.6732742539839025,-1.35647664257753,-5.739899879338976,0.25726881977947297,-0.6739818478362735,0.11888038687415028,-1.533325804617515,-0.5873360849603595,0.38991467767766436,1.3042163043973114,-5.6704189440769,-1.007886401126598,1.1942828823052798,0.3840993998924349,-3.1884005011220107,-0.36215833509446216,-6.490895249166508,6.5183057546554855,-0.3453884574963486,-0.6129362611176393,-4.846114453108537,9.238430481344084,2.351410748889237,1.8542506118352635,-2.63070825577296,3.083781348876073,-2.8836759859186745,0
APUAPU,-3.5078419972403188,18.07148639703799,43.36858898893762,-6.3138519799585415,6.17577266990256,-30.773710484087342,-6.957809861657117,15.486070362162321,0.13628285334172605,15.908611191990492,-4.045854217681496,11.442747619792101,-7.527094825411861,-20.29578503239231,-18.200744975436358,-2.5218811850191094,41.41442053310387,-14.807429633826844,-9.17404054970427,-3.3795111189497544,16.90124806088919,0.14626004946834192,2.183619824262252,-1.4997637294853385,-1.5133525605828817,27.686558986834317,0.6571736497144045,3.254579094405316,1.1085124248787328,32.14582083097163,-2.057681681760927,-11.546313254786773,-6.657091389471273,-6.657091389473456,-10.609193830874343,31.77375823189931,-22.430112905009786,-3.0435447150261146,-3.0435447150256834,-19.538488295485287,25.808720929836507,-6.973572462928139,4.237368322013203,19.647376921342467,-2.0609467826676995,7.4217362499414,-4.743664032438873,-4.4005223569648475,12.166037462863267,-1.979729268557396,0.7253163564366583,0.8823310825264533,-3.7985419259937916,4.53068716461757,0.3836172706039274,-0.07621370006119674,-4.1317235329701925,6.278172255528742,-0.016544257841402746,7.4462689871227985,0.26044002108581643,-1.6451973152402333,1.0935800232891046,-9.180995665422273,-12.177112329723693,5.243075105229264,-2.3516420223815344,-4.969764107738104,-1.1499143695119407,-2.6706990729982154,-0.05231013071155349,-0.26970745204810204,-17.81419477136656,1
SYLATR,-2.0466333835798465,14.588581754342965,-20.744977528979955,11.513869104050084,3.4935071482479736,-0.048738628433756606,-3.901217259230916,-8.931130186198441,7.00026169640185,-6.2899959935553085,-9.584008864460293,11.499734070601308,1.1700250767941567,16.222305143082988,7.4739746734817905,12.013022911798505,-6.84006107796509,5.096641296786381,-1.019863893288041,-5.667555355055694,-8.71237585705291,0.04895398673597055,-3.1928346590201917,0.04866703590002952,-0.1561438668366038,-2.6795434092711785,-0.7494264235359126,-1.4695673785695416,-2.1487729564437448,1.8343935038026362,-4.055137769260609,5.1967418547765645,2.2459828754936426,2.2459828754930165,6.209196676534909,-15.045993324489428,8.142509873486715,2.5730124504108645,2.57301245041037,12.108429364753391,-22.475457459767235,-10.872640082695492,4.5971081860236405,5.857810393920773,-7.373361997756813,0.7182958063591832,7.087259297148379,-5.403292567007074,-3.309942642708527,0.9916467553114957,-0.1605753542479629,-5.25040768504441,-0.8212897098749319,-1.2630983753818288,-3.264708707416159,-0.5424300087664188,-0.7694196713548532,-6.814510498923248,6.4453165835323825,0.2759190136828724,-5.7774153893933775,-0.8050578877547685,-2.237372333608737,-0.7648749740965133,-6.577399398066435,-2.3298582210777674,3.5946567745331017,8.349920577733586,0.0481321503710306,4.376624473714854,-0.1914006013819206,0.42039124480471923,-3.36815159139161,0
PASDOM,-10.99984483959612,7.780305711976809,-8.380709684616297,1.2120691076082462,8.677561304520125,-16.141727822550166,0.25617418617655935,13.811660094806795,-1.5281995433620006,-1.853126239945063,3.7692621204407013,6.378217348238695,4.279617486309049,0.6382723856719075,0.2775369069560828,0.13689795974465832,15.542808016304908,16.92712693069141,-0.329046319984105,8.635836672088502,-20.397137281244785,4.601769332856842,1.6490200398333614,-0.04928314339352829,0.4901087722950645,16.254841117642602,1.9829364475868096,3.9775642865249163,-0.9287094877011574,0.3418013721428331,3.2778455737304752,5.351277862868849,-6.331500421806531,-6.331500421806816,-10.584262760776758,19.2686824646215,-23.526023078565064,6.0700377916494785,6.070037791649031,0.16294516760366404,6.142157862840739,11.486593509079515,-11.828551665219125,26.861372233372478,-20.120816985593667,4.0560698175744205,-15.811436354038618,12.975542511035494,2.468347022331994,-4.08294132717923,3.9617627799636805,-4.7288355953784365,-4.366823829428034,-4.537553242184173,0.8343908576903254,0.43311520712460916,-3.3485451427027977,-2.596246733833608,7.984519184650784,3.8999460269876476,-1.643181063067396,0.7701135526603211,-15.040612114613603,-12.269171922128315,-0.8159561103515539,12.311254272038788,0.8997494055411897,-1.055317472936075,-2.006509249557156,4.515571677208631,-1.622891806488895,-4.8032385922692376,-0.8592538531916367,2
TURMER,-1.0021796944562071,1.8722764653129937,-11.993651564937707,3.8695740568930805,8.940894037970317,-1.7401489681750881,1.668247356719847,-1.967184515687887,-5.189752866843575,1.519918854930401,-9.457235763626244,-4.303882513472743,9.697721505403521,5.188311722094388,-0.9539982442808651,6.517059150881614,-3.108302531683749,-7.888494676663458,5.882568868855669,-0.46913874657800847,-7.26909974160276,-0.6913412159180964,-2.1455446832261953,0.8011667922488782,-1.50348513444995,4.3641865202108825,0.8909257884776632,-1.5656926558136506,-2.876922854113302,-3.61622462490303,-0.2774822296087885,4.257533584665418,-0.12330831158351957,-0.123308311584211,0.8474391923409229,-5.489337881593979,-2.2287642453933056,1.9276739390522553,1.9276739390524933,5.010186904855154,-8.312944793077978,-4.864626014480611,-3.1073728767450874,8.74957654689745,-14.498782031651876,1.9316003722005306,6.998783932586258,-7.358900229074752,-1.1418444937556775,-1.3709550799162806,-0.36011962142715204,-4.898996742803952,-1.8812564409905983,-1.3496027375308617,-1.9630053759162565,0.26366726147989755,-1.1357816975983555,-7.859609110091856,3.7499610740852236,0.9786100328448482,0.8737794856424987,1.2284974719991968,-3.329148535543041,-1.062900345371367,-6.125631186043831,3.587783179290056,-1.5826260460831099,9.407995383358811,-0.2770274728628072,2.912395075580995,-0.33448860221888227,-0.5608293590946283,-3.1373934912789796,0
TURVIS,2.008712099371374,2.196973929461834,3.6019060698970047,1.6993924989258609,-4.464814153360768,-1.071805553674001,-1.5873010958235458,-0.03385793491708621,-4.170254743518247,1.628365967600083,-3.0147563283865266,-2.631344148384455,1.2828648607471966,-1.4327175547586866,-1.4018237039553765,2.7183185304053596,-0.8610280269061916,-0.21105545702773768,2.4746671681151184,-1.0578800363867602,6.2861248663663805,-0.5629375917767983,-0.2560242710117838,0.2329150271106138,-0.5651554486567372,-1.5634076479874233,0.45413494919107883,1.0865554690249712,-0.28623597150605684,-1.8798434306755163,-0.37846270425608947,1.129995151623092,-0.055536520003891345,-0.05553652000388059,0.1753953896928725,-2.4793561769998296,1.650270416877847,0.1828586925380235,0.1828586925379059,1.7425294257343285,-2.913056362083557,1.2570609604743115,-4.655432197399763,0.892719127135615,-2.8214684843661857,-1.391443686457079,2.3267380917621927,-1.4402802637951715,0.25667653191165124,0.24360274624890985,1.060836793413631,-1.2781688567481875,-0.24040701198257405,0.6739665964770745,-0.5939542360585123,-0.5944676888378657,-2.434720997003478,1.4460488390823403,0.10609515623648359,0.8474331013028763,-0.21220250526908202,0.029538150429345978,0.3409400097667869,1.870199676729225,-1.255872546369622,2.341493967896249,-4.588129739329825,-1.4902276225591153,-0.16711346175187414,-0.1891216991735603,-0.24908585782253487,-0.18303022696707352,-0.08337032904945975,0
HIRRUS,0.2940783718583154,-8.875042105335336,13.529136572443953,2.5943258472570645,1.5761282122694353,-6.843421416086417,0.3886789546731424,3.909849465843901,-5.5506822161513965,3.9444442398179853,-1.7429248551562555,-0.7173807940685019,12.094032022404079,-10.941513333738126,-5.24222460710827,-0.6942834074737013,11.3238962754997,-7.204944106846151,-4.348175060798441,-8.696617252027242,2.7489836900467357,2.599752690560757,-0.6383106039585011,-0.7312643904896136,-0.8295512831608006,-2.283470326835981,-1.2590179944567605,1.9635682842606506,-1.1494786449671457,10.672764175740193,-0.8155840653330532,-7.802068088287631,-5.140127623422042,-5.140127623422696,-7.989192625304163,24.527048102358112,-17.08018654804584,-0.6350072467591201,-0.6350072467595806,-12.559360221788907,21.52739558770373,2.6273495929196313,-2.2673871850404814,3.1796721839993003,-0.2007106277740713,0.424893615721212,-3.4100720631127235,5.607926885040076,-2.771399949288254,-3.849179874696767,1.7895987359424992,-3.1708751050888306,-4.254334284700474,5.32221842345229,-0.3794115212178281,-0.9219425427671865,-1.9170800390577583,-0.9031923141837136,4.499487821090309,2.336523870187556,-0.07135724920985055,-1.140993088951326,-5.4344410582438,-7.29445525137931,0.024913214344735528,-0.45790366222305856,3.6516924103050337,3.638812754314739,-0.6956133526768495,0.2502587485019372,0.2893360927561093,-2.2933537196449962,-8.664017715973275,0
CORCOR,4.900264915314506,-6.9807268445459165,-15.358351124380947,5.721991283837613,10.784570031380925,6.9622904762851325,-1.659343257070776,-6.699266453488073,1.2284813995850863,-5.4196212637043715,-0.38795486929399947,6.349693646596906,4.504501256049924,13.972716049344498,8.289301116667785,-2.5481394802835213,-13.568705189225373,-2.3509928856353866,-1.0759059146912466,-0.09014841954748225,-14.490337326157295,3.770734068437237,-1.0545343106157448,-1.7144250745813492,2.1626079112954955,3.647170851158413,-1.1125183226832362,3.53958933594057,-1.6249184737692737,4.1663926817539325,-2.5291803117642746,3.9776854248940174,-1.1663771860570677,-1.166377186056395,1.8946605154772447,2.391790580740575,-5.242234003605615,2.997134033260655,2.997134033260413,-0.8876872074099238,-2.767791830073568,-6.070927823203472,1.0869734321518632,-0.3000500213237019,-1.9006899112286662,0.8043708267335992,-1.839766630391361,1.3211702103924523,-0.6547908558093843,1.7475246498679653,2.5414860352062574,-4.8420382319919,-2.9215903353840678,-4.641108865803309,-3.7004162815322497,-1.0944249931136618,2.0841958642375236,-3.38781817734567,6.734061510745139,-2.8836628702659866,-0.8741448969178782,-2.4395213840970724,2.712265518424909,3.6429179675257948,-5.192692455132565,1.4147910581741414,1.7167142563821796,0.09921637634857691,0.038230378709088075,-0.6745800597451196,1.7621664456230333,-2.307781574930292,-2.338137275329383,0
COLPAL,15.108861860850372,-14.952159778851463,-21.261555048429816,2.378265642475575,7.237228030725481,8.78787294131514,5.178511950174961,-6.004024949566053,-6.374682290290607,-14.829805848462557,-3.9273148867816787,-10.878564703632406,-11.850100832007012,15.353471397515358,8.04410191383825,1.4005507432643698,0.3011846081091056,4.494699324294337,4.1995797500754755,-0.2898276126619342,-8.845215340947613,-0.5436863357345024,0.38012825632837965,-0.6263843116333135,-0.4571812899947525,9.137008418114213,2.139711096148507,-2.0452884315570534,-1.4777837381208059,-4.438776107069628,0.40081351714355645,13.217827675714252,-0.09596133695094357,-0.09596133695150272,5.48958430345145,-12.986398445665893,1.741844147861137,6.142255444517366,6.142255444517549,7.265749178604872,-13.972686042224796,-0.5012883090534959,0.7891491553720047,5.927019768479809,2.917903709724054,2.341302641898769,6.852724953693162,-14.863577642385211,3.4719600391319,1.45375969052829,1.524077208310002,-6.395136416597964,-2.3094424176281367,-6.952382062831672,-0.752473114026377,0.4324173975143371,-5.537520661721639,-7.188518598724537,12.63035780861403,1.0071612658560554,2.1380154461221297,-5.543986117092263,-6.874600692105069,4.664030578005632,-3.367251756774368,0.20369049799559924,-1.06320905574734,5.133384859098643,-3.8394374515841387,0.6757987345751788,0.2615721515774468,0.9781170805215879,0.45898956355084686,0
