k,inertia,silhouette,dbi
2,2215.1221428108292,0.5097364071656317,0.33985751660252667
3,1860.8348756463974,0.423932470801623,0.8803155167594466
4,1603.3552482490904,0.2230848565132902,1.2456895532563943
5,1380.0514248271509,0.18808490731128005,1.180319066408219
6,1201.3779839238928,0.20190499569245735,1.0095424206874923
7,1095.1942007565945,0.18503819925158269,1.184209885941202
8,981.1755626238838,0.19913740056025048,0.78668185043105
9,837.7938302431635,0.1930317974006537,0.7302768518176013
10,741.5346573412966,0.18358839275146607,0.6118328955827897
