k,inertia,silhouette,dbi
2,747.575651269745,0.6292755801967453,0.24508614220539157
3,589.2577596018061,0.3389857994223028,1.151591087077612
4,498.664002665427,0.332397470869259,1.1615913954025991
5,440.6401894655722,0.2621682019209367,0.9371689698843433
6,366.85289187423194,0.28668598951798924,0.9269784772902323
7,327.4395501633132,0.29960263737882925,0.947038369495252
8,291.4307142551578,0.3272631026324623,0.6107965987968685
9,250.8042768323564,0.10680546207825448,0.7463114122526312
10,212.02142598752403,0.2747060551447131,0.6331504547605036
