,Mean_temp_grid_allY,Mean_temp_max_grid_allY,Mean_Ampli_grid_allY,Mean_preci_grid_AllY,Tot_preci_grid_AllY,Max_temp_grid_allY,Mean_temp_grid_JanvMay,Mean_temp_max_grid_JanvMay,Mean_Ampli_grid_JanvMay,Mean_preci_grid_JanvMay,Tot_preci_grid_JanvMay,Mean_temp_grid_MayJuly,Mean_temp_max_grid_MayJuly,Mean_Ampli_grid_MayJuly,Mean_preci_grid_MayJuly,Tot_preci_grid_MayJuly,Mean_temp_grid_MayDec,Mean_temp_max_grid_MayDec,Mean_Ampli_grid_MayDec,Mean_preci_grid_MayDec,Tot_preci_grid_MayDec,ValueSPred_CC,Area_grid_tot_CC,ValueSPred_For,Area_grid_tot_For,ValueSPred_Urba,Area_grid_tot_Urba,ValueSPred_M,Area_grid_tot_M,ValueSPred_ZH,Area_grid_tot_ZH,mean_concentration_air_grid_max,mean_tii_grid_max,mean_tii_scale_grid_max,mean_concentration_water_grid_max,all_pesticide_exposure_grid_max,mean_concentration_air_grid_sum,mean_tii_grid_sum,mean_tii_scale_grid_sum,mean_concentration_water_grid_sum,all_pesticide_exposure_sum,SurfBio_cell,nb_exp_cell,Long_route,nb_roads,Lum_max,Lum_median,Lum_mean,Lum_min,nb_parcelle,nb_Culture,Cerales,Arboricultures,Vignes,OleagineuxProtea,LegumesFleurs,BoisEnergieSylvi,Prairie,Cerales_mean,Arboricultures_mean,Vignes_mean,OleagineuxProtea_mean,LegumesFleurs_mean,BoisEnergieSylvi_mean,Prairie_mean,nb_parcelle_mean,nb_Culture_mean,Length_idCell,Area_grid_tot_Urba_meanAlly,Area_grid_tot_M_meanAlly,Area_grid_tot_CC_meanAlly,Area_grid_tot_For_meanAlly,Area_grid_tot_ZH_meanAlly,cluster
PRUMOD,0.3146693518791073,-3.108650715405258,-2.281090383834471,0.45985932427752413,1.9779851355343732,-0.24521325676788835,0.6394066891217883,-0.7210997622578469,-1.245379073546507,-0.11487925807839855,-1.1188546477743342,-0.5459169794540504,2.049445035676628,-1.3183150383930484,-1.2436307039984393,-0.8391345555368088,-0.5208861153145598,-3.0129260450688915,-0.09674182741316932,-0.7522807802537631,-0.3089664435821144,-0.5812851339151381,-0.04368376690183319,-0.18909911675153881,-0.010254688501195625,1.2908099932352894,0.5018264558287618,-0.39269176217682894,-0.5922454463390414,-0.138450559205241,0.13044104997382755,1.3724477757361644,-0.7736425931754569,-0.773642593175427,-1.111066799601665,1.178859532341695,-3.7247798974142605,1.6685117343964468,1.6685117343965,-0.369059335429123,-0.2545580578133267,-0.9084560456993314,2.448499109687664,0.13486137580972987,-1.2031822597467388,-1.4047725781924854,1.4787243887117685,1.3460983698402875,-2.6332391179746923,-0.4134792937395066,-0.19283260444269928,1.4379719605204087,-0.03486822383729177,-1.1703249479905158,0.18801849605288268,-0.05025041709137327,0.1651748590580764,-0.5324486630234531,-0.3533366958146163,-1.981583829963493,-0.7412060171198696,0.00045058712872878383,-1.1028339159898606,-0.6084368724476021,1.0222400421050095,-0.3105769783663016,0.4402634490851861,0.06092535338635272,-0.9984318004282391,0.18909026004130422,-0.5183973631939253,-0.36781972074546054,-0.29959297698089576,2
FRICOE,2.381542360218481,-9.840662339464409,-8.259601284805395,6.8888648612685035,3.9596836972504805,3.328927787019082,2.033002320487733,-17.314873504606577,0.36603775134340705,-5.143806577754209,-3.8282243567894536,9.26583970522777,12.322486629646635,2.5888952488961987,8.076763180669518,6.959576136292658,-7.2834915934878355,-5.466210251171663,0.9310819885926211,-5.470317360901111,-3.328977351966945,-4.975551488139737,-0.18672925991489847,0.03798364770276216,1.2272999930572677,-9.598145747444553,4.469017088507124,-1.7954896740588708,-1.5515467771547091,3.3686773812608677,-0.023731133357160848,1.2094699926953412,-3.0063210137278484,-3.0063210137277965,-3.786227079117336,3.103937284921878,-0.2513825012861312,-2.260259748209137,-2.260259748209545,4.492518370144018,-1.1152664806531223,-1.2554894190273258,-8.465507066882633,6.034377075672279,-16.779860133887524,-6.9023363465240655,5.990789855476277,3.103953396056781,-10.314615785141372,-0.3103049160430137,-1.4933848384684651,-2.7669979299880665,-0.5501591849138638,-1.1128108671167152,0.5060523463371064,2.1242967952623606,-4.615472148225688,-5.245515250778348,1.089714192670065,-4.991296854578917,-4.641856464235745,-3.004448759317951,2.278618361743659,5.919801187333043,3.514029292864265,-0.6487944424474517,-2.143899950259789,-2.2880148315629136,5.6640363693083495,2.973549642985152,-1.084520462272164,0.025774502478796788,-4.751895749711326,0
APUAPU,0.9843527045780645,18.07482103727143,23.954603533360814,-13.675248623676378,12.686024003844183,-30.392890999426275,-10.577559435589153,21.157261830398024,8.47088296933819,11.208320259830847,-1.5939682157701158,31.876535708042006,-44.24066959483428,-11.076042928073106,-22.116382571512656,-4.1358733618088035,28.721339732686825,-17.9543303325606,-0.5654981096428663,-3.2390019156601895,15.310902972400516,2.253626036782344,3.6172543926084217,-1.3749915959675225,-5.317968750417395,26.649074837381626,5.199265376561317,5.17401332633838,3.1533675676147492,39.907844653053765,-9.694245827860867,-3.455569535770808,-4.236758363817858,-4.236758363817535,-7.113176255748672,3.40739717162793,-14.324037798468153,-1.63948492936455,-1.639484929365187,-6.242872195197046,10.359528790849598,-5.236974496535742,2.9257976873828038,20.92324079660435,13.811001595556002,11.91478221453095,-15.130485006108374,0.6003928071363179,16.741040271846085,0.33502888126035896,2.457628220797444,-4.526936467617858,-6.036065244750228,5.935274905379925,1.5812456465081846,-2.9358656114745605,-3.0225437119263296,7.55175523306313,-3.6759253024341745,7.2872701891871525,6.463937035583463,-3.1619984429863526,-3.4797950279696184,-10.2915522149207,-14.394960300083971,3.457397057175816,-2.455053486500256,1.177214731568371,2.9792576688521297,-5.910968637962757,2.137475082498637,-0.059834519631861934,-36.699351877833344,1
SYLATR,3.719771726827707,5.348584503373828,-15.71399536814278,6.914827522056554,7.061913303832143,8.391396744723991,-2.64146902185923,-18.829204059545482,-1.6776519163776147,-7.168711448212949,-8.85121704480701,7.107360716831392,13.151377093819375,7.119901500415824,12.799965614506284,7.68499909858722,-5.985172373301093,-0.9794870008293607,-3.4413687892888056,-2.7381360854894345,-11.118516203854307,0.015994698150186767,-3.9378278981905575,0.12179124884235179,-0.3109422646881274,0.39290156707992147,0.3967269448001289,-5.352902672061778,-3.6662832948960067,-2.082830724453368,-1.374964979606566,7.198916232261012,1.8791312020408037,1.8791312020410469,6.242892136227581,-7.070703509423991,3.6118023183313865,-0.1239810454619035,-0.12398104546225978,9.049579329025068,-10.67776982737633,-8.328086302803062,5.464680934879098,12.028870316950151,-14.864922196272195,0.04101929511090522,6.719615168587397,-3.7954407818430442,-6.883604609211327,-0.46642977316684797,-0.45581152971320876,-12.001056292992924,-0.5383622537946114,-2.049265342543859,-0.3710322146112615,0.19146773484975751,-1.363874572980304,-8.101352673153956,6.334620400454063,0.16568247109522174,-7.978479167523313,3.647337003515695,-1.3028512395345153,-1.1367326336889705,-2.80500466653039,-5.93383238091286,4.852222169127822,9.911494692454834,1.0378356722917041,6.619453061527453,0.7693376117742945,-1.4983887204418758,-3.2156892873108234,0
PASDOM,-4.439188436862985,-4.407512121021998,0.0315753786946442,9.184241796535696,6.336213371002306,-16.471491166710248,5.47182815610926,7.417538648145289,-1.7826481500667086,-10.531116287578646,4.920925200099145,1.3228014239688426,16.594558713264473,-10.062854095709248,-2.890410304653789,1.6228478076856256,8.121170771693377,5.965266451625295,7.11191514050406,3.4325340033182563,-18.089574782989214,7.343792653578803,0.9670269119726169,1.5738924764847704,-0.4136779446802437,8.314860948052884,1.6690120190227085,-0.4527829476875664,1.2572568875882477,4.306682039407277,-0.1320743691345824,12.989640415373254,-7.092236182703418,-7.0922361827029325,-5.991738286022613,12.262172432222838,-5.892526084118292,2.2520686229634044,2.252068622963114,-2.0184193651983007,4.8108040460966714,11.67668007809938,-10.525068432422936,22.205516017366907,-13.741354128704165,4.328186051571081,-15.507503640631063,15.426304838204363,-1.2281626553609248,-2.5609013007209063,2.502749843908436,-5.497010446807819,-0.22096804668422843,-3.418889138514263,2.0237471416235615,-0.6269035263248625,-3.2687661728785358,0.21584239093383054,3.5484420922826745,-3.082452916838315,12.499780392078078,-5.4670286828447345,-3.6155047953432513,-2.235618973029199,0.1325527997620556,11.315096847269265,2.383185913824136,6.485359703919661,3.306865478567578,8.729435387670193,3.538155323182643,-3.845989579122441,4.846734080690331,2
TURMER,-3.3024676178928574,2.3781189124640614,-15.808389479679528,1.846752517429174,6.714516921419106,4.415347285711654,1.787711247613006,-10.183378868462542,-7.643450915694284,-1.5909318735030749,-8.592600709933743,6.897250836107776,16.14870881141323,8.970697339754867,9.741467386520466,7.10275921938759,-5.171539845230578,-7.9592081662009075,4.1038122666614685,1.5301073090300206,-9.427814706253603,-0.020321971309445724,-3.4151826461286965,0.4908481571616487,-0.7539893450483601,5.691267085319225,1.1251535795134402,-4.810659837798272,-3.828654023895934,-2.9443626826992104,1.7502412206895437,3.3082047658112974,-0.37462523877156106,-0.37462523877120685,3.6912013564137074,-6.5142739153544875,0.6315966517170305,4.194342516840902,4.194342516840589,5.5820200075309945,-7.273309733828654,-5.490359979585214,0.4732190948345169,12.309412937144613,-16.85119020287509,2.8955963387328127,0.8097964629307515,-3.4313303336651324,-3.3495896792809234,-2.1677861204779565,-2.49932994606863,-11.834578621118233,0.18757405373803132,-1.073261397308567,0.37417628490195715,3.81752243131759,0.8461928749284677,-7.884341688214774,3.3366506160926064,-0.7167281322683766,-1.8859400208857906,3.7267741320588397,-3.3712779932408066,2.3083071483458846,-2.666394293477294,3.140662570255913,0.1302805968674501,5.879518520481407,2.560601674632321,6.1622004700525235,-0.11487675341673165,-0.8135020216181006,-3.744916483197246,0
TURVIS,0.14023240934213277,0.0912195431679834,-1.7983115627444024,0.8604193998726394,-4.895010558009654,3.620080338876247,-1.9078881270632226,-3.438234801443472,-4.95476413576174,1.8033336322636948,-4.935727617341455,1.8203109781453155,1.6830901509293954,5.024174904349648,0.8946195942197572,5.430108555741463,-1.3743047237656207,-0.030579981968641038,1.1437359081468568,-1.3490541120601443,5.210076154644694,-0.7275659534238248,-0.7954815044232102,-0.3537904659969635,-0.6122818908179973,-3.3057563214696133,0.8433471429307242,0.5499796372064888,-0.1942769313392738,-1.6532893151990398,-1.170415999412445,0.48258033972264935,-1.0051866208421516,-1.0051866208422042,1.3116656073526698,-1.4051528959540216,1.0640985521917237,1.5011549880360657,1.5011549880360462,0.8520523620729451,-0.5456550345208507,0.9667132873489539,-4.106755895035509,2.3429284956155767,-3.900552507775859,-2.336387177232941,2.3923905761198627,-2.111476351484653,1.6839884193449384,1.4415089847523355,0.46248800961691194,-1.6000555389241207,-0.7894184469684064,0.11650313437850691,-0.8331697108318762,-0.12873085413987095,-1.8941828991717466,-1.9729434544731579,3.3058095415557305,-0.7347968841762443,-0.5766038271553724,-2.6415626733001276,2.092833733713545,1.1921872819487376,-1.2345642676320012,0.5084709451505803,-3.7808268466307022,-1.84516574169964,-0.1446466183257141,0.3528280622949531,-0.07996918228782507,-0.555709025324422,0.10943957628312441,2
HIRRUS,-5.1153840678650635,-6.150314087086477,6.499758119384758,0.05182589624579166,0.26975192326454783,-7.728205681737498,6.852201604169179,2.81739822403844,-0.8351124815661325,2.664736846085503,1.7257101031119195,1.6426541830937444,4.89597932400049,-14.366560301149766,-8.574284566225577,-1.5037577199843895,2.6955123102737577,-0.24963395612870382,2.6155168244615656,-0.7489104307859533,0.7138813196184502,4.031591708588289,-2.155621083844857,-0.28429737042866654,-1.0056407686019988,-2.502260569515864,-0.17479215913171403,2.26545163664353,0.05539978713091858,15.384478891312046,3.9768718358281894,1.5173423811939066,-2.9698183223805583,-2.969818322379982,-5.120472604564317,8.53271633526251,-16.142387411978635,2.748949267176525,2.748949267175713,-2.9808102070199096,4.0156557431729265,0.3062884099036373,-0.026539081192672103,4.883185648094506,-0.17618057535551007,0.08819027853452696,-0.1576907553732373,3.960932291441936,-4.055457458717952,-0.6482546227778082,-0.5045880432844587,-4.059976738130087,-4.7748227198435185,6.399895513956943,0.763322590283228,4.300197181722772,-2.4823837593038314,0.6658251377561638,4.697680326520263,3.4168358469659266,1.6300270057065225,-5.639192731825961,-0.25955611050392674,-5.421718082549635,-4.198379638185762,0.44968849315257103,3.7149131011820846,2.504036910435852,0.04486865383838036,-1.9337784952668613,1.7239278578695887,0.47880074779842724,-14.351285023069362,2
CORCOR,1.5510463813537303,-5.8993855474322165,-12.701257822119082,7.722740648321803,5.5115933059813695,2.7131541044169185,-0.327907191677362,-7.654124981717142,2.930669377906167,-8.432575344039929,5.020626959005584,2.8825941745165173,13.084514900640643,8.375703810103571,6.424292678968409,2.430824112275437,-5.4798426631105865,0.21167005684993118,0.9141769671386007,2.4151424370595644,-14.948948637057526,4.575163140428235,-0.09296947095578759,-0.70783829824175,1.3642820617367364,3.623132672249724,-0.07272511977071248,-0.06996107925810459,-3.454976037345927,7.569705078686761,0.5277364410254692,0.8429557852818875,-0.7319567716726326,-0.7319567716722702,1.4778667820050508,1.3529885432077549,-5.6257228988010715,4.16721462761439,4.1672146276144675,-0.19475793274006262,-2.106199593015123,-3.495293700774923,2.3353571739865755,1.7354311524258148,-2.7295394613725845,5.747876622073735,1.444159900455983,-8.040400252378124,0.23622737258786963,-1.2280401385837394,6.413540741744387,-2.1959466011053395,-5.159501813054417,-1.4210440773382957,-0.395477408586479,-3.3640025613153113,-1.7194103159195602,-2.145644760100852,2.118069573074835,-3.5497341728566316,-1.2671511997166067,6.805132528738663,-0.029065190435133108,-1.4118953744498477,-2.3131385635475725,1.8515382001331275,-0.17996683101772137,5.582232021287206,-0.7273904062856555,1.124082126523592,2.6775389759101333,-1.0847548694284845,-1.8500715230806026,2
COLPAL,6.592039556552687,-2.8331474346508894,-15.744873348017544,2.997701836399286,-0.8177756977455841,11.423614602260864,-1.660622010927361,-10.801395744087595,-8.433882832352213,-11.523842868498196,-3.366148830075481,5.740849141218062,-5.576936182276008,8.951194090689777,9.412432703880706,8.894835228818161,4.007479282848286,7.032668921187013,3.3453237115399546,3.3480081662186416,-8.620144659391235,0.43949058216582876,-0.29993432476275594,-0.36369508039007614,0.049714931387605237,8.965135908084259,1.0780628837975061,-2.5254454564412776,-2.9683340419536606,-1.2458872366651572,2.3620183725290627,6.01722727352928,3.1929949585969797,3.192994958597237,8.670247254318449,-6.578259358751028,3.705494515244972,3.254396780950847,3.2543967809511494,7.379165590848376,-10.035269235172606,0.3793367168163148,1.8393217838795766,2.8017482327122556,8.836836339106398,4.385126884473419,-2.20651195295556,-6.525414730466523,4.109931025509766,2.424185154985361,4.009589458793615,-10.292293057864187,-0.707956853499446,-3.812838259248566,-0.22727329164398385,1.6917389219969936,-2.358572230651147,-7.568233847673067,12.009472414950187,-0.915154833267335,-2.660955115094407,-0.8838673202169287,-0.3854245323219441,2.798266994882905,1.043333651182313,-2.8897136227990057,-0.36294616516467987,2.9825204196212503,-9.63129628091153,4.225179813727134,0.14676234794203402,-1.568491727313387,-1.5900634352610552,0
